number,name,status
1,PEP Purpose and Guidelines,13-Jun-2000
244,The,20-Mar-2001
243,Module Repository Upload Mechanism,18-Mar-2001
246,Object Adaptation,21-Mar-2001
242,Numeric Kinds,17-Mar-2001
240,Adding a Rational Literal to Python,11-Mar-2001
239,Adding a Rational Type to Python,11-Mar-2001
241,Metadata for Python Software Packages,12-Mar-2001
238,Changing the Division Operator,11-Mar-2001
245,Python Interface Syntax,11-Jan-2001
237,Unifying Long Integers and Integers,11-Mar-2001
235,Import on Case-Insensitive Platforms,21-Feb-2001
234,Iterators,30-Jan-2001
236,Back to the __future__,26-Feb-2001
233,Python Online Help,11-Dec-2000
232,Function Attributes,02-Dec-2000
8104,2023 Term Steering Council election,08-Nov-2022
8102,2021 Term Steering Council election,29-Oct-2020
8103,2022 Term Steering Council election,04-Oct-2021
8101,2020 Term Steering Council election,16-Nov-2019
8100,January 2019 Steering Council election,03-Jan-2019
8016,The Steering Council Model,01-Nov-2018
8015,Organization of the Python community,04-Oct-2018
8014,The Commons Governance Model,16-Sep-2018
8012,The Community Governance Model,03-Oct-2018
8013,The External Council Governance Model,14-Sep-2018
8010,The Technical Leader Governance Model,24-Aug-2018
8011,Python Governance Model Lead by Trio of Pythonistas,24-Aug-2018
8002,Open Source Governance Survey,24-Aug-2018
8001,Python Governance Voting Process,24-Aug-2018
8000,Python Language Governance Proposal Overview,24-Aug-2018
3333,Python Web Server Gateway Interface v1.0.1,26-Sep-2010
3156,Asynchronous IO Support Rebooted: the “asyncio” Module,12-Dec-2012
3155,Qualified name for classes and functions,29-Oct-2011
3154,Pickle protocol version 4,11-Aug-2011
3153,Asynchronous IO support,29-May-2011
3151,Reworking the OS and IO exception hierarchy,21-Jul-2010
3152,Cofunctions,13-Feb-2009
3150,Statement local namespaces (aka “given” clause),09-Jul-2010
3149,ABI version tagged .so files,09-Jul-2010
3148,futures - execute computations asynchronously,16-Oct-2009
3144,IP Address Manipulation Library for the Python Standard Library,06-Feb-2012
3146,Merging Unladen Swallow into CPython,01-Jan-2010
3147,PYC Repository Directories,16-Dec-2009
3143,Standard daemon process library,26-Jan-2009
3145,Asynchronous I/O For subprocess.Popen,04-Aug-2009
3142,Add a “while” clause to generator expressions,12-Jan-2009
3141,A Type Hierarchy for Numbers,23-Apr-2007
3140,"str(container) should call str(item), not repr(item)",27-May-2008
3139,Cleaning out sys and the “interpreter” module,04-Apr-2008
3137,Immutable Bytes and Mutable Buffer,26-Sep-2007
3138,String representation in Python 3000,05-May-2008
3134,Exception Chaining and Embedded Tracebacks,12-May-2005
3136,Labeled break and continue,30-Jun-2007
